Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2021-01-29 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,317.63,347.33,61.90,55.58,spp.org; eia.gov
2021-01-30 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,292.66,320.88,65.02,58.36,spp.org; eia.gov
2021-01-31 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,284.65,312.70,65.77,58.91,spp.org; eia.gov
2021-02-01 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,575.75,624.57,28.54,21.90,spp.org; eia.gov
2021-02-02 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,442.72,478.99,47.18,40.68,spp.org; eia.gov
2021-02-03 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,376.78,406.42,56.73,50.04,spp.org; eia.gov
2021-02-04 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,271.15,297.59,67.95,61.07,spp.org; eia.gov
2021-02-05 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,488.06,533.62,38.26,31.22,spp.org; eia.gov
2021-02-06 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,462.08,495.61,46.99,40.29,spp.org; eia.gov
2021-02-07 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,614.85,660.15,27.30,20.73,spp.org; eia.gov
2021-02-08 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,628.96,685.24,20.27,13.85,spp.org; eia.gov
2021-02-09 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,633.62,693.78,17.62,11.43,spp.org; eia.gov
2021-02-10 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,633.39,696.13,16.04,9.94,spp.org; eia.gov
2021-02-11 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,626.49,690.52,16.13,9.92,spp.org; eia.gov
2021-02-12 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,600.32,656.78,22.67,16.53,spp.org; eia.gov
2021-02-13 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,638.01,696.36,19.07,12.98,spp.org; eia.gov
2021-02-14 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,557.30,607.45,30.50,24.66,spp.org; eia.gov
2021-02-15 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,600.23,658.34,24.02,17.82,spp.org; eia.gov
2021-02-16 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,611.74,669.85,23.20,17.00,spp.org; eia.gov
2021-02-17 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,660.82,720.14,18.17,11.36,spp.org; eia.gov
2021-02-18 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,637.84,693.28,21.63,14.95,spp.org; eia.gov
2021-02-19 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,605.12,658.58,25.40,18.90,spp.org; eia.gov
2021-02-20 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,486.56,529.94,39.70,33.35,spp.org; eia.gov
2021-02-21 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,362.38,389.46,59.38,52.31,spp.org; eia.gov
2021-02-22 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,407.39,441.33,51.61,44.59,spp.org; eia.gov
2021-02-23 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,457.28,495.10,45.08,37.77,spp.org; eia.gov
2021-02-24 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,338.09,368.03,59.95,52.74,spp.org; eia.gov
2021-02-25 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,480.40,520.29,41.81,34.93,spp.org; eia.gov
2021-02-26 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,481.05,523.52,40.45,33.39,spp.org; eia.gov
2021-02-27 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,396.07,428.36,53.45,46.34,spp.org; eia.gov
2021-02-28 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,299.56,327.67,64.31,56.87,spp.org; eia.gov
2021-03-01 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,474.81,519.77,39.61,32.58,spp.org; eia.gov
2021-03-02 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,408.87,453.56,45.66,38.67,spp.org; eia.gov
2021-03-03 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,398.30,436.79,49.94,42.86,spp.org; eia.gov
2021-03-04 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,375.74,410.70,53.88,46.61,spp.org; eia.gov
2021-03-05 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,361.21,392.52,57.17,49.92,spp.org; eia.gov
2021-03-06 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,457.18,501.05,41.77,34.34,spp.org; eia.gov
2021-03-07 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,208.18,235.98,72.66,65.22,spp.org; eia.gov
2021-03-08 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,227.39,253.84,71.66,64.46,spp.org; eia.gov
2021-03-09 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,194.23,219.66,75.20,68.07,spp.org; eia.gov
2021-03-10 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,207.40,234.08,73.42,66.11,spp.org; eia.gov
2021-03-11 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,365.77,404.44,52.78,45.39,spp.org; eia.gov
2021-03-12 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,479.09,518.64,42.14,34.83,spp.org; eia.gov
2021-03-13 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,394.91,423.60,55.54,48.03,spp.org; eia.gov
2021-03-14 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,196.54,219.65,76.35,68.99,spp.org; eia.gov
2021-03-15 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,307.21,337.41,62.64,55.48,spp.org; eia.gov
2021-03-16 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,494.82,536.86,39.45,32.27,spp.org; eia.gov
2021-03-17 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,292.09,318.04,66.22,59.36,spp.org; eia.gov
2021-03-18 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,279.28,308.70,65.48,58.89,spp.org; eia.gov
2021-03-19 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,493.73,537.12,38.78,31.85,spp.org; eia.gov
2021-03-20 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,246.07,273.10,69.74,62.53,spp.org; eia.gov
2021-03-21 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,181.69,206.74,76.63,69.00,spp.org; eia.gov
2021-03-22 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,310.57,339.64,62.96,55.70,spp.org; eia.gov
2021-03-23 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,283.87,312.46,65.57,58.67,spp.org; eia.gov
2021-03-24 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,343.47,377.59,57.26,50.37,spp.org; eia.gov
2021-03-25 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,590.28,638.00,27.83,24.41,spp.org; eia.gov
2021-03-26 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,389.04,419.83,54.96,52.09,spp.org; eia.gov
2021-03-27 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,370.79,398.48,58.27,55.15,spp.org; eia.gov
2021-03-28 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,462.92,499.57,45.27,41.71,spp.org; eia.gov
2021-03-29 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,204.98,228.25,75.53,72.40,spp.org; eia.gov
2021-03-30 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,200.99,226.94,74.48,71.25,spp.org; eia.gov
2021-03-31 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,422.47,464.27,46.19,42.91,spp.org; eia.gov
2021-04-01 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,455.47,496.44,43.59,40.63,spp.org; eia.gov
2021-04-02 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,217.23,242.18,73.51,70.61,spp.org; eia.gov
2021-04-03 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,293.17,324.52,63.30,60.13,spp.org; eia.gov
2021-04-04 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,273.05,303.15,65.82,62.47,spp.org; eia.gov
2021-04-05 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,193.61,218.87,75.54,72.41,spp.org; eia.gov
